Rank,Team,S,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
87,Purdue (Big Ten),111,"1,390",647,"3,925",0.189
88,Georgia St. (Sun Belt),105,"1,318",586,"3,859",0.19
89,Charlotte (C-USA),112,"1,591",704,"4,671",0.19
90,ETSU (SoCon),122,"1,443",673,"4,053",0.19
91,UCF (AAC),114,"1,476",675,"4,211",0.19
92,Campbell (Big South),108,"1,267",562,"3,706",0.19
93,UT Arlington (Sun Belt),118,"1,432",631,"4,207",0.19
94,Radford (Big South),95,"1,209",561,"3,400",0.191
95,Sam Houston St. (Southland),127,"1,576",671,"4,745",0.191
96,Central Conn. St. (NEC),117,"1,448",629,"4,284",0.191
97,Utah Valley (WAC),113,"1,430",679,"3,928",0.191
98,Canisius (MAAC),123,"1,607",702,"4,732",0.191
99,McNeese (Southland),106,"1,249",558,"3,612",0.191
100,Howard (MEAC),118,"1,313",601,"3,720",0.191
101,Valparaiso (MVC),127,"1,678",728,"4,963",0.191
102,Texas A&M (SEC),110,"1,271",586,"3,569",0.192
103,Boise St. (Mountain West),107,"1,387",653,"3,819",0.192
104,Bradley (MVC),119,"1,603",666,"4,863",0.193
105,Bowling Green (MAC),120,"1,613",694,"4,762",0.193
106,Morgan St. (MEAC),114,"1,261",537,"3,745",0.193
107,Tennessee Tech (OVC),112,"1,435",643,"4,095",0.193
108,Villanova (Big East),112,"1,381",621,"3,925",0.194
109,Hampton (Big South),95,"1,103",487,"3,179",0.194
110,Kennesaw St. (ASUN),112,"1,193",484,"3,658",0.194
111,LSU (SEC),102,"1,286",589,"3,595",0.194
112,Montana St. (Big Sky),112,"1,484",668,"4,208",0.194
113,UNC Asheville (Big South),90,"1,157",509,"3,338",0.194
114,Fresno St. (Mountain West),104,"1,227",552,"3,473",0.194
115,Coastal Carolina (Sun Belt),116,"1,339",618,"3,706",0.195
116,Grand Canyon (WAC),116,"1,524",680,"4,337",0.195
117,Ark.-Pine Bluff (SWAC),124,"1,498",634,"4,436",0.195
118,Tennessee St. (OVC),104,"1,334",591,"3,796",0.196
119,Murray St. (OVC),114,"1,317",541,"3,950",0.196
120,Marquette (Big East),115,"1,357",584,"3,933",0.197
121,Marist (MAAC),115,"1,334",561,"3,929",0.197
122,Tulsa (AAC),115,"1,474",615,"4,366",0.197
123,UConn (AAC),104,"1,300",579,"3,664",0.197
124,St. John's (NY) (Big East),115,"1,380",615,"3,881",0.197
125,Northwestern St. (Southland),116,"1,427",590,"4,228",0.198
126,New Hampshire (America East),98,"1,236",551,"3,453",0.198
127,San Jose St. (Mountain West),107,"1,203",501,"3,537",0.198
128,Albany (NY) (America East),96,"1,197",550,"3,258",0.199
129,Wake Forest (ACC),105,"1,258",558,"3,522",0.199
130,Bryant (NEC),113,"1,293",547,"3,742",0.199
131,Wofford (SoCon),116,"1,383",600,"3,921",0.2
132,Alabama St. (SWAC),139,"1,601",712,"4,451",0.2
133,Utah (Pac-12),124,"1,554",687,"4,336",0.2
134,Oakland (Horizon),108,"1,374",569,"4,024",0.2
