Rank,Team,S,W-L,Kills,Errors,Total Attacks,Pct.
104,Winthrop (Big South),106,24-4,"1,409",520,"4,006",0.222
105,Ball St. (MAC),123,20-11,"1,695",634,"4,799",0.221
106,LSU (SEC),102,15-13,"1,260",509,"3,398",0.221
107,Louisville (ACC),105,19-9,"1,326",564,"3,452",0.221
108,DePaul (Big East),121,14-16,"1,612",654,"4,347",0.22
109,Navy (Patriot),111,17-12,"1,456",590,"3,932",0.22
110,Sacred Heart (NEC),117,20-11,"1,589",666,"4,196",0.22
111,Delaware (CAA),104,15-14,"1,336",569,"3,488",0.22
112,Northwestern (Big Ten),118,14-18,"1,482",618,"3,938",0.219
113,Texas Tech (Big 12),116,17-13,"1,530",616,"4,166",0.219
114,Northern Ky. (Horizon),120,19-12,"1,613",595,"4,643",0.219
115,Southeast Mo. St. (OVC),126,23-10,"1,539",548,"4,530",0.219
116,Ohio (MAC),119,18-13,"1,574",610,"4,408",0.219
117,Wright St. (Horizon),108,24-5,"1,471",538,"4,267",0.219
118,Hofstra (CAA),111,17-12,"1,471",628,"3,864",0.218
119,Central Conn. St. (NEC),117,15-15,"1,477",549,"4,257",0.218
120,Illinois St. (MVC),129,22-11,"1,778",757,"4,688",0.218
121,LMU (CA) (WCC),110,14-15,"1,444",607,"3,847",0.218
122,Kansas St. (Big 12),113,9-19,"1,391",525,"3,984",0.217
123,Michigan St. (Big Ten),110,15-15,"1,329",564,"3,524",0.217
124,Southern Utah (Big Sky),116,15-16,"1,482",565,"4,231",0.217
125,Buffalo (MAC),119,13-17,"1,484",632,"3,932",0.217
126,Loyola Chicago (MVC),124,21-11,"1,645",670,"4,507",0.216
127,Saint Louis (Atlantic 10),112,17-12,"1,435",592,"3,897",0.216
128,Penn (Ivy League),82,11-10,"1,026",433,"2,745",0.216
129,Maryland (Big Ten),127,13-19,"1,421",578,"3,915",0.215
130,CSUN (Big West),108,12-16,"1,329",536,"3,684",0.215
131,La Salle (Atlantic 10),105,15-13,"1,433",583,"3,949",0.215
132,Army West Point (Patriot),116,22-10,"1,552",623,"4,324",0.215
133,Arizona St. (Pac-12),124,17-14,"1,548",600,"4,415",0.215
134,Colorado (Pac-12),106,13-17,"1,293",548,"3,473",0.215
135,Albany (NY) (America East),96,16-10,"1,163",490,"3,138",0.214
136,Boise St. (Mountain West),107,18-11,"1,344",560,"3,656",0.214
137,Miami (OH) (MAC),103,17-11,"1,383",550,"3,886",0.214
138,Oregon (Pac-12),113,9-20,"1,478",624,"3,997",0.214
139,New Hampshire (America East),98,17-9,"1,183",457,"3,403",0.213
140,Wake Forest (ACC),105,14-15,"1,257",531,"3,421",0.212
141,Sam Houston St. (Southland),127,18-13,"1,717",691,"4,838",0.212
142,Eastern Mich. (MAC),106,11-17,"1,421",570,"4,013",0.212
143,Howard (MEAC),118,20-12,"1,472",661,"3,825",0.212
144,Bowling Green (MAC),120,19-12,"1,533",555,"4,615",0.212
145,Murray St. (OVC),114,19-11,"1,595",680,"4,319",0.212
146,Central Ark. (Southland),124,16-14,"1,633",706,"4,381",0.212
147,Clemson (ACC),104,11-17,"1,312",572,"3,506",0.211
148,Western Mich. (MAC),112,14-14,"1,427",587,"3,990",0.211
149,Temple (AAC),92,12-15,"1,154",457,"3,313",0.21
150,Southeastern La. (Southland),118,14-17,"1,486",602,"4,202",0.21
151,Lipscomb (ASUN),105,16-13,"1,419",617,"3,823",0.21
