Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US53572,53572,ZCTA5 53572,9970,6997,0,6997,2973,0
8600000US53573,53573,ZCTA5 53573,3062,0,0,0,3062,0
8600000US53574,53574,ZCTA5 53574,3877,0,0,0,3877,0
8600000US53575,53575,ZCTA5 53575,15494,9635,0,9635,5859,0
8600000US53576,53576,ZCTA5 53576,2319,0,0,0,2319,0
8600000US53577,53577,ZCTA5 53577,1371,0,0,0,1371,0
8600000US53578,53578,ZCTA5 53578,5924,3972,0,3972,1952,0
8600000US53579,53579,ZCTA5 53579,1760,0,0,0,1760,0
8600000US53580,53580,ZCTA5 53580,564,0,0,0,564,0
8600000US53581,53581,ZCTA5 53581,10699,5021,0,5021,5678,0
8600000US53582,53582,ZCTA5 53582,1079,0,0,0,1079,0
8600000US53583,53583,ZCTA5 53583,5747,3761,0,3761,1986,0
8600000US53585,53585,ZCTA5 53585,2215,0,0,0,2215,0
8600000US53586,53586,ZCTA5 53586,2284,0,0,0,2284,0
8600000US53587,53587,ZCTA5 53587,1290,0,0,0,1290,0
8600000US53588,53588,ZCTA5 53588,4077,0,0,0,4077,0
8600000US53589,53589,ZCTA5 53589,19427,15521,15521,0,3906,0
8600000US53590,53590,ZCTA5 53590,36294,32721,32721,0,3573,0
8600000US53593,53593,ZCTA5 53593,19225,14872,14872,0,4353,0
8600000US53594,53594,ZCTA5 53594,5144,3059,0,3059,2085,0
8600000US53597,53597,ZCTA5 53597,16844,13713,13713,0,3131,0
8600000US53598,53598,ZCTA5 53598,2511,2043,2043,0,468,0
8600000US53599,53599,ZCTA5 53599,69,0,0,0,69,0
8600000US53702,53702,ZCTA5 53702,50,50,50,0,0,0
8600000US53703,53703,ZCTA5 53703,27958,27958,27958,0,0,0
8600000US53704,53704,ZCTA5 53704,44034,43785,43785,0,249,0
8600000US53705,53705,ZCTA5 53705,23494,23494,23494,0,0,0
8600000US53706,53706,ZCTA5 53706,5133,5133,5133,0,0,0
8600000US53711,53711,ZCTA5 53711,45728,43576,43576,0,2152,0
8600000US53713,53713,ZCTA5 53713,22146,22138,22138,0,8,0
8600000US53714,53714,ZCTA5 53714,16463,16463,16463,0,0,0
8600000US53715,53715,ZCTA5 53715,12136,12136,12136,0,0,0
8600000US53716,53716,ZCTA5 53716,18419,18419,18419,0,0,0
8600000US53717,53717,ZCTA5 53717,11962,11962,11962,0,0,0
8600000US53718,53718,ZCTA5 53718,11753,11078,11078,0,675,0
8600000US53719,53719,ZCTA5 53719,28487,28462,28462,0,25,0
8600000US53726,53726,ZCTA5 53726,5177,5177,5177,0,0,0
8600000US53792,53792,ZCTA5 53792,0,0,0,0,0,0
8600000US53801,53801,ZCTA5 53801,878,0,0,0,878,0
8600000US53802,53802,ZCTA5 53802,58,0,0,0,58,0
8600000US53803,53803,ZCTA5 53803,1306,0,0,0,1306,0
8600000US53804,53804,ZCTA5 53804,1372,0,0,0,1372,0
8600000US53805,53805,ZCTA5 53805,5269,3261,0,3261,2008,0
8600000US53806,53806,ZCTA5 53806,1831,0,0,0,1831,0
8600000US53807,53807,ZCTA5 53807,4843,0,0,0,4843,0
8600000US53808,53808,ZCTA5 53808,1049,0,0,0,1049,0
8600000US53809,53809,ZCTA5 53809,4120,0,0,0,4120,0
8600000US53810,53810,ZCTA5 53810,429,0,0,0,429,0
8600000US53811,53811,ZCTA5 53811,3371,0,0,0,3371,0
8600000US53813,53813,ZCTA5 53813,6075,3688,0,3688,2387,0
8600000US53816,53816,ZCTA5 53816,810,0,0,0,810,0
8600000US53817,53817,ZCTA5 53817,205,0,0,0,205,0
8600000US53818,53818,ZCTA5 53818,15091,11236,0,11236,3855,0
8600000US53820,53820,ZCTA5 53820,2532,0,0,0,2532,0
8600000US53821,53821,ZCTA5 53821,8456,6255,0,6255,2201,0
8600000US53825,53825,ZCTA5 53825,487,0,0,0,487,0
8600000US53826,53826,ZCTA5 53826,1332,0,0,0,1332,0
8600000US53827,53827,ZCTA5 53827,292,0,0,0,292,0
8600000US53901,53901,ZCTA5 53901,14445,10146,0,10146,4299,0
8600000US53910,53910,ZCTA5 53910,3508,0,0,0,3508,0
8600000US53911,53911,ZCTA5 53911,1351,0,0,0,1351,0
8600000US53913,53913,ZCTA5 53913,19881,14890,0,14890,4991,0
8600000US53916,53916,ZCTA5 53916,22507,17833,0,17833,4674,0
8600000US53919,53919,ZCTA5 53919,2629,0,0,0,2629,0
8600000US53920,53920,ZCTA5 53920,414,0,0,0,414,0
8600000US53922,53922,ZCTA5 53922,1036,0,0,0,1036,0
8600000US53923,53923,ZCTA5 53923,2098,0,0,0,2098,0
8600000US53924,53924,ZCTA5 53924,1360,0,0,0,1360,0
8600000US53925,53925,ZCTA5 53925,7781,4920,0,4920,2861,0
8600000US53926,53926,ZCTA5 53926,1628,0,0,0,1628,0
8600000US53928,53928,ZCTA5 53928,128,0,0,0,128,0
8600000US53929,53929,ZCTA5 53929,2782,0,0,0,2782,0
8600000US53930,53930,ZCTA5 53930,1285,0,0,0,1285,0
8600000US53931,53931,ZCTA5 53931,237,0,0,0,237,0
8600000US53932,53932,ZCTA5 53932,2573,1703,0,1703,870,0
8600000US53933,53933,ZCTA5 53933,4117,0,0,0,4117,0
8600000US53934,53934,ZCTA5 53934,4396,0,0,0,4396,0
8600000US53935,53935,ZCTA5 53935,307,0,0,0,307,0
8600000US53936,53936,ZCTA5 53936,1610,0,0,0,1610,0
8600000US53937,53937,ZCTA5 53937,1053,0,0,0,1053,0
8600000US53939,53939,ZCTA5 53939,244,0,0,0,244,0
8600000US53941,53941,ZCTA5 53941,2932,0,0,0,2932,0
8600000US53943,53943,ZCTA5 53943,1065,0,0,0,1065,0
8600000US53944,53944,ZCTA5 53944,2224,0,0,0,2224,0
8600000US53946,53946,ZCTA5 53946,4386,0,0,0,4386,0
8600000US53947,53947,ZCTA5 53947,137,0,0,0,137,0
8600000US53948,53948,ZCTA5 53948,8414,4401,0,4401,4013,0
8600000US53949,53949,ZCTA5 53949,6011,0,0,0,6011,0
8600000US53950,53950,ZCTA5 53950,5449,0,0,0,5449,0
8600000US53951,53951,ZCTA5 53951,2601,0,0,0,2601,0
8600000US53952,53952,ZCTA5 53952,4377,0,0,0,4377,0
8600000US53953,53953,ZCTA5 53953,282,0,0,0,282,0
8600000US53954,53954,ZCTA5 53954,6926,245,0,245,6681,0
8600000US53955,53955,ZCTA5 53955,5692,0,0,0,5692,0
8600000US53956,53956,ZCTA5 53956,3397,0,0,0,3397,0
8600000US53959,53959,ZCTA5 53959,13384,9190,0,9190,4194,0
8600000US53960,53960,ZCTA5 53960,3268,0,0,0,3268,0
8600000US53961,53961,ZCTA5 53961,837,0,0,0,837,0
8600000US53963,53963,ZCTA5 53963,13910,11373,0,11373,2537,0
8600000US53964,53964,ZCTA5 53964,3604,0,0,0,3604,0
