zip,obese,bmi,pop,sex,age,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53587,NA,NA,104,female,05-17,12.6,12.3,502,55313,0,1290,1290,0
53588,NA,NA,326,female,05-17,29.5,31.2,1749,60377,0,4077,4077,0
53589,168,1358,1381,female,05-17,33.2,32.9,7913,71051,15521,3906,19427,0.7989396201163329
53590,358,2774,4033,female,05-17,41.3,42.4,15350,72317,32721,3573,36294,0.9015539758637792
53593,103,1677,1971,female,05-17,63.8,62.7,8837,99578,14872,4353,19225,0.7735760728218466
53594,29,151,485,female,05-17,15,21.2,2123,75306,3059,2085,5144,0.5946734059097978
53597,116,1500,1831,female,05-17,47.1,48.7,6944,98519,13713,3131,16844,0.8141177867489907
53598,29,203,223,female,05-17,45.5,35.9,1008,74244,2043,468,2511,0.8136200716845878
53599,NA,NA,0,female,05-17,0,0,23,31528,0,69,69,0
53702,NA,NA,0,female,05-17,0,0,13,NA,50,0,50,1
53703,14,188,260,female,05-17,66.3,69.8,15383,36631,27958,0,27958,1
53704,366,2018,2891,female,05-17,41.6,43.6,20525,55758,43785,249,44034,0.9943452786483172
53705,57,855,1355,female,05-17,76.8,75.4,11818,65385,23494,0,23494,1
53706,NA,NA,16,female,05-17,44.4,100,112,12333,5133,0,5133,1
53711,327,2641,3451,female,05-17,61.7,57.9,20204,74725,43576,2152,45728,0.9529391182645206
53713,290,1391,2115,female,05-17,28.1,28.5,9963,38843,22138,8,22146,0.9996387609500587
53714,146,728,1293,female,05-17,31.5,30.8,7369,56148,16463,0,16463,1
53715,22,168,264,female,05-17,56.6,58.2,5296,30019,12136,0,12136,1
53716,120,854,956,female,05-17,40.6,43.8,8086,67268,18419,0,18419,1
53717,45,510,720,female,05-17,78.8,65.1,6174,77609,11962,0,11962,1
53718,69,589,594,female,05-17,56.1,50.6,5742,75225,11078,675,11753,0.9425678550157407
53719,203,1611,2192,female,05-17,59.2,60.9,13849,77514,28462,25,28487,0.9991224067118335
53726,NA,NA,359,female,05-17,90.2,91.8,2387,40712,5177,0,5177,1
53792,NA,NA,0,female,05-17,NA,NA,0,NA,0,0,0,NA
53801,NA,NA,63,female,05-17,10.6,14.1,378,49643,0,878,878,0
53802,NA,NA,0,female,05-17,0,0,21,15417,0,58,58,0
53803,NA,NA,132,female,05-17,15.2,17.1,513,49554,0,1306,1306,0
53804,NA,NA,112,female,05-17,8.1,13.9,526,49107,0,1372,1372,0
53805,48,242,370,female,05-17,10.1,18.6,2106,40714,3261,2008,5269,0.618903017650408
53806,NA,NA,113,female,05-17,11.5,14.7,734,49688,0,1831,1831,0
53807,NA,NA,411,female,05-17,19.3,26.4,1884,63396,0,4843,4843,0
53808,NA,NA,81,female,05-17,13.7,13.7,485,54779,0,1049,1049,0
53809,21,85,324,female,05-17,15.4,18.6,1566,56714,0,4120,4120,0
53810,NA,NA,38,female,05-17,11.3,18.3,152,53333,0,429,429,0
53811,NA,NA,235,female,05-17,17.7,37.1,1255,59770,0,3371,3371,0
53813,14,54,482,female,05-17,19.2,20.2,2335,51250,3688,2387,6075,0.6070781893004116
53816,NA,NA,104,female,05-17,11.6,14.5,271,51250,0,810,810,0
53817,NA,NA,4,female,05-17,16.4,20.8,69,48472,0,205,205,0
53818,NA,NA,988,female,05-17,31.7,34.8,5347,46345,11236,3855,15091,0.7445497316281228
53820,NA,NA,204,female,05-17,16.3,20.5,981,55583,0,2532,2532,0
53821,25,156,660,female,05-17,16.4,16.4,3371,46345,6255,2201,8456,0.7397114474929044
53825,NA,NA,81,female,05-17,10.5,22.3,176,47500,0,487,487,0
53826,12,50,158,female,05-17,10.6,11.8,459,49375,0,1332,1332,0
53827,NA,NA,14,female,05-17,5.7,15.9,92,68750,0,292,292,0
53901,99,446,1015,female,05-17,16.2,19.3,6070,49606,10146,4299,14445,0.7023883696780893
53910,21,81,263,female,05-17,8.7,13.2,1422,35324,0,3508,3508,0
53911,10,78,97,female,05-17,19.8,25.3,514,79118,0,1351,1351,0
53913,122,706,1635,female,05-17,21.4,23.4,8643,48556,14890,4991,19881,0.748956289925054
53916,129,757,1963,female,05-17,16.4,20.9,9246,50706,17833,4674,22507,0.7923312747145332
53919,NA,NA,209,female,05-17,14.8,18.3,1008,66161,0,2629,2629,0
53920,NA,NA,29,female,05-17,15.8,13,185,53438,0,414,414,0
53922,NA,NA,62,female,05-17,6.4,16.8,384,66458,0,1036,1036,0
53923,13,79,266,female,05-17,13.1,15.9,729,63594,0,2098,2098,0
53924,NA,NA,102,female,05-17,10.8,14.8,586,52375,0,1360,1360,0
53925,56,403,779,female,05-17,28.2,29.7,3198,66218,4920,2861,7781,0.6323094717902583
53926,NA,NA,213,female,05-17,7.7,12.3,493,53669,0,1628,1628,0
53928,NA,NA,18,female,05-17,0,11.9,46,64500,0,128,128,0
53929,12,60,201,female,05-17,12,17.1,1058,50272,0,2782,2782,0
53930,NA,NA,109,female,05-17,11.6,13.7,505,56435,0,1285,1285,0
53931,NA,NA,20,female,05-17,16.7,15.9,92,66364,0,237,237,0
53932,25,144,254,female,05-17,19.8,27.6,978,67222,1703,870,2573,0.6618732996502138
53933,10,37,163,female,05-17,10.9,19,1256,52865,0,4117,4117,0
53934,22,81,235,female,05-17,9.6,15.1,1819,36775,0,4396,4396,0
53935,NA,NA,23,female,05-17,14.7,15.4,117,51250,0,307,307,0
53936,NA,NA,95,female,05-17,3.6,13.3,586,45152,0,1610,1610,0
53937,NA,NA,66,female,05-17,13.2,17.2,358,54615,0,1053,1053,0
53939,NA,NA,23,female,05-17,14.3,12,111,48438,0,244,244,0
53941,12,32,242,female,05-17,17.2,21.4,1180,57083,0,2932,2932,0
53943,NA,NA,81,female,05-17,11.5,13.2,392,52500,0,1065,1065,0
53944,NA,NA,163,female,05-17,9.8,15.3,821,47022,0,2224,2224,0
53946,NA,NA,398,female,05-17,15.8,16.8,1786,54735,0,4386,4386,0
53947,NA,NA,6,female,05-17,4,3.9,78,47857,0,137,137,0
53948,18,99,588,female,05-17,12.4,15.8,3205,48117,4401,4013,8414,0.5230568100784407
53949,18,81,338,female,05-17,9.8,14.7,2591,46298,0,6011,6011,0
53950,10,59,313,female,05-17,9,18,1915,52526,0,5449,5449,0
53951,NA,NA,208,female,05-17,11,19.1,897,50819,0,2601,2601,0
53952,NA,NA,212,female,05-17,9.1,13.7,1324,49744,0,4377,4377,0
53953,NA,NA,24,female,05-17,0,4.2,103,40893,0,282,282,0
53954,48,222,597,female,05-17,18.1,21.4,2844,66358,245,6681,6926,0.03537395321975166
53955,42,272,428,female,05-17,22.1,24.6,2397,73808,0,5692,5692,0
53956,10,91,257,female,05-17,13.1,14.7,1292,55153,0,3397,3397,0
53959,38,195,1206,female,05-17,19,20.7,5329,56525,9190,4194,13384,0.6866407650926479
53960,20,127,272,female,05-17,12.6,23.2,1429,64507,0,3268,3268,0
53961,NA,NA,80,female,05-17,14.5,22.9,319,63162,0,837,837,0
53963,NA,NA,1029,female,05-17,12.2,17.9,4877,55799,11373,2537,13910,0.8176132278936017
53964,16,61,351,female,05-17,13.5,17.9,1417,49390,0,3604,3604,0
53965,59,292,704,female,05-17,16.2,22.1,4265,49247,4342,6056,10398,0.41758030390459705
53968,11,32,187,female,05-17,9.9,14.1,959,48125,0,2329,2329,0
53969,NA,NA,13,female,05-17,12.3,11.4,114,54375,0,419,419,0
54001,NA,NA,556,female,05-17,21.5,19.4,3208,54426,2832,5323,8155,0.34727161250766403
