zip,urban,rural,population,p_urban
54120,0,245,245,0
54121,0,2982,2982,0
54123,0,238,238,0
54124,0,3881,3881,0
54125,0,519,519,0
54126,0,3625,3625,0
54127,0,76,76,0
54128,0,1778,1778,0
54129,0,3477,3477,0
54130,16899,8209,25108,0.6730524135733631
54135,0,3096,3096,0
54136,6406,0,6406,1
54137,0,1115,1115,0
54138,0,821,821,0
54139,0,3096,3096,0
54140,8533,0,8533,1
54141,132,2417,2549,0.05178501373087485
54143,10862,4363,15225,0.713431855500821
54149,0,1184,1184,0
54150,0,1037,1037,0
54151,1634,1922,3556,0.4595050618672666
54153,4273,2979,7252,0.5892167677881963
54154,2621,2927,5548,0.472422494592646
54155,1615,3836,5451,0.2962759126765731
54156,0,1535,1535,0
54157,3440,2546,5986,0.5746742398930839
54159,0,1434,1434,0
54160,0,253,253,0
54161,0,2696,2696,0
54162,3363,5702,9065,0.3709873138444567
54165,3500,4039,7539,0.46425255338904364
54166,9934,7068,17002,0.5842842018586049
54169,2475,125,2600,0.9519230769230769
54170,0,3730,3730,0
54171,0,3362,3362,0
54173,2358,1737,4095,0.5758241758241758
54174,0,3013,3013,0
54175,0,1018,1018,0
54177,0,2898,2898,0
54180,2524,337,2861,0.882209017825935
54201,3070,2275,5345,0.5743685687558466
54202,0,1240,1240,0
54204,0,1819,1819,0
54205,0,2177,2177,0
54207,0,176,176,0
54208,0,6061,6061,0
54209,0,1195,1195,0
54210,0,897,897,0
54211,0,277,277,0
54212,0,997,997,0
54213,0,1276,1276,0
54214,0,334,334,0
54216,2622,3654,6276,0.41778202676864246
54217,0,7405,7405,0
54220,34405,5815,40220,0.855420188960716
54227,0,1568,1568,0
54228,0,2682,2682,0
54229,912,3394,4306,0.21179749187180677
54230,0,4782,4782,0
54232,0,779,779,0
54234,0,1614,1614,0
54235,8617,8586,17203,0.5009010056385514
54241,11955,2929,14884,0.8032115022843321
54245,0,2259,2259,0
54246,0,708,708,0
54247,0,2339,2339,0
54301,22742,0,22742,1
54302,30611,0,30611,1
54303,26995,46,27041,0.9982988794793092
54304,28153,0,28153,1
54307,1092,0,1092,1
54311,29491,4089,33580,0.8782310899344848
54313,30481,5416,35897,0.8491238822185698
54401,24926,5776,30702,0.8118689336199596
54403,19155,5117,24272,0.7891809492419248
54405,2138,894,3032,0.7051451187335093
54406,0,3469,3469,0
54407,0,1515,1515,0
54408,0,1068,1068,0
54409,8158,5080,13238,0.6162562320592234
54410,0,2392,2392,0
54411,0,5406,5406,0
54412,0,2181,2181,0
54413,0,191,191,0
54414,0,3404,3404,0
54416,0,1684,1684,0
54417,0,46,46,0
