zip,obese,bmi,pop,sex,age
54155,29,213,953,female,05-17
54156,NA,NA,95,female,05-17
54157,NA,NA,505,female,05-17
54159,NA,NA,74,female,05-17
54160,NA,NA,21,female,05-17
54161,17,87,232,female,05-17
54162,54,476,759,female,05-17
54165,41,300,660,female,05-17
54166,NA,NA,1351,female,05-17
54169,NA,NA,220,female,05-17
54170,18,155,274,female,05-17
54171,27,173,365,female,05-17
54173,22,198,497,female,05-17
54174,30,126,194,female,05-17
54175,NA,NA,43,female,05-17
54177,NA,NA,178,female,05-17
54180,NA,NA,330,female,05-17
54201,10,71,417,female,05-17
54202,NA,NA,78,female,05-17
54204,NA,NA,125,female,05-17
54205,14,77,214,female,05-17
54207,NA,NA,15,female,05-17
54208,28,149,566,female,05-17
54209,NA,NA,40,female,05-17
54210,NA,NA,32,female,05-17
54211,NA,NA,12,female,05-17
54212,NA,NA,60,female,05-17
54213,NA,NA,125,female,05-17
54214,NA,NA,10,female,05-17
54216,26,158,368,female,05-17
54217,52,331,709,female,05-17
54220,NA,NA,3017,female,05-17
54227,NA,NA,114,female,05-17
54228,NA,NA,238,female,05-17
54229,17,177,422,female,05-17
54230,NA,NA,439,female,05-17
54232,NA,NA,33,female,05-17
54234,NA,NA,37,female,05-17
54235,20,122,1082,female,05-17
54241,NA,NA,1156,female,05-17
54245,NA,NA,241,female,05-17
54246,NA,NA,66,female,05-17
54247,NA,NA,178,female,05-17
54301,108,752,1835,female,05-17
54302,233,1004,2875,female,05-17
54303,189,883,2126,female,05-17
54304,157,783,1952,female,05-17
54307,NA,NA,0,female,05-17
54311,128,1048,2580,female,05-17
54313,172,1714,3811,female,05-17
54401,313,2013,2545,female,05-17
54403,236,1614,2140,female,05-17
54405,31,197,201,female,05-17
54406,10,65,326,female,05-17
54407,NA,NA,126,female,05-17
54408,10,69,91,female,05-17
54409,160,790,944,female,05-17
54410,25,144,270,female,05-17
54411,57,259,580,female,05-17
54412,22,115,149,female,05-17
54413,NA,NA,9,female,05-17
54414,27,206,272,female,05-17
54416,NA,NA,166,female,05-17
54417,NA,NA,0,female,05-17
54418,13,60,84,female,05-17
54420,NA,NA,131,female,05-17
54421,42,196,347,female,05-17
54422,12,50,154,female,05-17
54423,NA,NA,176,female,05-17
54424,12,66,137,female,05-17
54425,25,104,229,female,05-17
54426,56,300,426,female,05-17
54427,NA,NA,56,female,05-17
54428,NA,NA,40,female,05-17
54430,NA,NA,13,female,05-17
54433,12,71,113,female,05-17
54435,12,70,123,female,05-17
54436,NA,NA,319,female,05-17
54437,18,92,375,female,05-17
54440,23,150,232,female,05-17
54441,NA,NA,76,female,05-17
54442,10,41,112,female,05-17
54443,18,102,208,female,05-17
54446,23,118,368,female,05-17
54447,NA,NA,28,female,05-17
54448,42,319,346,female,05-17
54449,210,1338,1952,female,05-17
54450,NA,NA,25,female,05-17
54451,128,769,1008,female,05-17
54452,202,1099,1515,female,05-17
54454,NA,NA,132,female,05-17
54455,185,1244,1520,female,05-17
54456,11,82,482,female,05-17
54457,86,392,498,female,05-17
54458,NA,NA,11,female,05-17
54459,NA,NA,107,female,05-17
54460,18,84,249,female,05-17
54462,NA,NA,4,female,05-17
54463,NA,NA,26,female,05-17
54465,NA,NA,42,female,05-17
54466,22,156,239,female,05-17
54467,35,282,1069,female,05-17
54469,24,117,161,female,05-17
54470,22,112,214,female,05-17
54471,11,151,200,female,05-17
54473,12,64,192,female,05-17
54474,42,295,197,female,05-17
54475,13,83,108,female,05-17
54476,239,1393,1553,female,05-17
54479,45,226,438,female,05-17
54480,14,72,118,female,05-17
54481,60,410,1635,female,05-17
54482,24,198,796,female,05-17
54484,49,341,506,female,05-17
54485,NA,NA,11,female,05-17
54486,10,34,192,female,05-17
54487,16,149,656,female,05-17
54488,NA,NA,92,female,05-17
54489,18,100,151,female,05-17
54490,10,53,58,female,05-17
54491,NA,NA,82,female,05-17
54493,NA,NA,28,female,05-17
54494,303,1680,2194,female,05-17
54495,117,556,648,female,05-17
54498,15,62,303,female,05-17
54499,42,169,310,female,05-17
54501,93,474,1468,female,05-17
54511,NA,NA,78,female,05-17
54512,NA,NA,23,female,05-17
54513,NA,NA,33,female,05-17
54514,NA,NA,113,female,05-17
54515,NA,NA,42,female,05-17
54517,NA,NA,0,female,05-17
54519,NA,NA,52,female,05-17
54520,NA,NA,290,female,05-17
54521,16,119,560,female,05-17
54524,NA,NA,34,female,05-17
54525,NA,NA,15,female,05-17
54526,NA,NA,97,female,05-17
54527,NA,NA,63,female,05-17
54529,NA,NA,54,female,05-17
54530,NA,NA,38,female,05-17
54531,NA,NA,94,female,05-17
54534,31,132,136,female,05-17
54536,NA,NA,20,female,05-17
54537,NA,NA,58,female,05-17
54538,26,68,300,female,05-17
54539,NA,NA,24,female,05-17
54540,NA,NA,66,female,05-17
54541,NA,NA,124,female,05-17
54542,NA,NA,10,female,05-17
54545,NA,NA,30,female,05-17
54546,NA,NA,143,female,05-17
54547,12,55,48,female,05-17
54548,17,144,155,female,05-17
54550,10,48,80,female,05-17
54552,20,113,216,female,05-17
54554,NA,NA,80,female,05-17
54555,37,182,310,female,05-17
54556,14,87,109,female,05-17
54557,NA,NA,51,female,05-17
54558,NA,NA,148,female,05-17
54559,NA,NA,92,female,05-17
54560,NA,NA,18,female,05-17
54561,NA,NA,0,female,05-17
54562,NA,NA,71,female,05-17
54563,NA,NA,68,female,05-17
54564,NA,NA,7,female,05-17
54565,NA,NA,8,female,05-17
54566,NA,NA,145,female,05-17
54568,21,176,315,female,05-17
54601,185,1326,2590,female,05-17
54603,75,418,868,female,05-17
54610,NA,NA,59,female,05-17
54611,NA,NA,84,female,05-17
54612,34,175,443,female,05-17
54613,NA,NA,85,female,05-17
54614,12,87,259,female,05-17
54615,24,105,875,female,05-17
54616,23,113,252,female,05-17
54618,NA,NA,171,female,05-17
54619,10,104,482,female,05-17
54621,NA,NA,133,female,05-17
54622,NA,NA,164,female,05-17
54623,NA,NA,193,female,05-17
54624,NA,NA,100,female,05-17
54625,NA,NA,22,female,05-17
54626,NA,NA,101,female,05-17
54627,NA,NA,128,female,05-17
54628,NA,NA,59,female,05-17
54629,NA,NA,208,female,05-17
54630,23,156,302,female,05-17
54631,11,35,106,female,05-17
54632,NA,NA,106,female,05-17
54634,30,121,430,female,05-17
54635,NA,NA,121,female,05-17
54636,83,704,1473,female,05-17
54637,NA,NA,10,female,05-17
54638,NA,NA,137,female,05-17
54639,NA,NA,237,female,05-17
54641,NA,NA,0,female,05-17
54642,13,65,179,female,05-17
54643,NA,NA,1,female,05-17
54644,NA,NA,206,female,05-17
54645,NA,NA,9,female,05-17
54646,NA,NA,412,female,05-17
54648,10,37,215,female,05-17
54650,116,988,2153,female,05-17
54651,NA,NA,129,female,05-17
54652,NA,NA,99,female,05-17
54653,NA,NA,122,female,05-17
54654,NA,NA,0,female,05-17
54655,NA,NA,153,female,05-17
54656,100,507,1496,female,05-17
54657,NA,NA,36,female,05-17
54658,17,83,167,female,05-17
54659,NA,NA,144,female,05-17
54660,87,421,1413,female,05-17
54661,13,141,345,female,05-17
54664,NA,NA,248,female,05-17
54665,25,212,627,female,05-17
54666,NA,NA,186,female,05-17
54667,18,151,379,female,05-17
54669,45,353,647,female,05-17
54670,NA,NA,292,female,05-17
54701,93,667,2947,female,05-17
54703,123,837,2818,female,05-17
54720,22,159,388,female,05-17
54721,NA,NA,88,female,05-17
54722,33,154,373,female,05-17
54723,NA,NA,74,female,05-17
54724,27,171,688,female,05-17
54725,NA,NA,195,female,05-17
54726,NA,NA,181,female,05-17
54727,37,173,436,female,05-17
54728,24,129,400,female,05-17
54729,148,997,2624,female,05-17
54730,10,61,383,female,05-17
54731,NA,NA,98,female,05-17
54732,23,118,216,female,05-17
54733,NA,NA,86,female,05-17
54734,NA,NA,72,female,05-17
54736,NA,NA,292,female,05-17
54737,NA,NA,39,female,05-17
54738,NA,NA,328,female,05-17
54739,13,110,415,female,05-17
54740,NA,NA,136,female,05-17
54741,NA,NA,159,female,05-17
54742,11,103,403,female,05-17
54745,10,52,161,female,05-17
54746,NA,NA,97,female,05-17
54747,22,101,267,female,05-17
54748,NA,NA,130,female,05-17
54749,NA,NA,92,female,05-17
54750,NA,NA,65,female,05-17
54751,NA,NA,1796,female,05-17
54754,NA,NA,116,female,05-17
54755,21,70,672,female,05-17
54756,NA,NA,63,female,05-17
54757,12,53,292,female,05-17
54758,15,66,436,female,05-17
54759,NA,NA,117,female,05-17
54760,NA,NA,20,female,05-17
54761,NA,NA,94,female,05-17
54762,NA,NA,141,female,05-17
54763,NA,NA,135,female,05-17
54765,NA,NA,0,female,05-17
54766,20,66,125,female,05-17
54767,NA,NA,303,female,05-17
54768,17,129,434,female,05-17
54769,NA,NA,24,female,05-17
54770,16,44,175,female,05-17
54771,14,104,437,female,05-17
54772,NA,NA,64,female,05-17
54773,26,105,330,female,05-17
54801,14,63,440,female,05-17
54805,NA,NA,121,female,05-17
54806,NA,NA,865,female,05-17
54810,NA,NA,165,female,05-17
54812,23,91,384,female,05-17
54813,NA,NA,34,female,05-17
54814,NA,NA,250,female,05-17
54817,12,59,126,female,05-17
54819,NA,NA,190,female,05-17
54820,NA,NA,61,female,05-17
54821,NA,NA,62,female,05-17
54822,17,135,494,female,05-17
54824,NA,NA,227,female,05-17
54826,NA,NA,43,female,05-17
54827,NA,NA,3,female,05-17
54828,NA,NA,64,female,05-17
54829,23,95,362,female,05-17
54830,NA,NA,119,female,05-17
54832,NA,NA,17,female,05-17
54835,NA,NA,67,female,05-17
54836,NA,NA,82,female,05-17
54837,NA,NA,270,female,05-17
54838,NA,NA,55,female,05-17
54839,NA,NA,24,female,05-17
54840,NA,NA,342,female,05-17
54841,NA,NA,30,female,05-17
54842,NA,NA,7,female,05-17
54843,20,105,910,female,05-17
54844,NA,NA,7,female,05-17
54845,NA,NA,21,female,05-17
54846,NA,NA,63,female,05-17
54847,NA,NA,191,female,05-17
54848,33,206,486,female,05-17
54849,NA,NA,174,female,05-17
54850,NA,NA,8,female,05-17
54853,NA,NA,351,female,05-17
54854,NA,NA,105,female,05-17
54855,NA,NA,135,female,05-17
54856,NA,NA,99,female,05-17
54857,NA,NA,0,female,05-17
54858,NA,NA,106,female,05-17
54859,NA,NA,144,female,05-17
54861,NA,NA,34,female,05-17
54862,NA,NA,11,female,05-17
54864,NA,NA,142,female,05-17
54865,NA,NA,24,female,05-17
54867,NA,NA,9,female,05-17
54868,67,412,1097,female,05-17
54870,NA,NA,67,female,05-17
54871,10,50,299,female,05-17
54872,NA,NA,172,female,05-17
54873,NA,NA,96,female,05-17
54874,NA,NA,303,female,05-17
54875,NA,NA,75,female,05-17
54876,NA,NA,99,female,05-17
54880,NA,NA,2268,female,05-17
54888,NA,NA,78,female,05-17
54889,NA,NA,210,female,05-17
54891,NA,NA,169,female,05-17
54893,NA,NA,264,female,05-17
54895,NA,NA,42,female,05-17
54896,NA,NA,64,female,05-17
54901,47,302,2154,female,05-17
54902,41,188,1560,female,05-17
54904,13,159,1566,female,05-17
54909,NA,NA,210,female,05-17
54911,135,895,2001,female,05-17
54913,81,1124,1734,female,05-17
54914,154,1041,2400,female,05-17
54915,201,1900,4142,female,05-17
54921,NA,NA,93,female,05-17
54922,11,63,112,female,05-17
54923,NA,NA,740,female,05-17
54927,NA,NA,54,female,05-17
54928,NA,NA,60,female,05-17
54929,NA,NA,672,female,05-17
54930,NA,NA,122,female,05-17
54931,NA,NA,21,female,05-17
54932,NA,NA,153,female,05-17
54933,NA,NA,31,female,05-17
54934,NA,NA,9,female,05-17
54935,NA,NA,3395,female,05-17
54937,NA,NA,1664,female,05-17
54940,NA,NA,244,female,05-17
54941,NA,NA,125,female,05-17
54942,46,543,822,female,05-17
54943,NA,NA,144,female,05-17
54944,40,404,884,female,05-17
54945,NA,NA,274,female,05-17
54946,NA,NA,0,female,05-17
54947,NA,NA,114,female,05-17
54948,NA,NA,19,female,05-17
54949,NA,NA,283,female,05-17
54950,NA,NA,269,female,05-17
54952,169,944,2377,female,05-17
54956,205,1891,4171,female,05-17
54960,NA,NA,105,female,05-17
54961,NA,NA,1158,female,05-17
54962,NA,NA,94,female,05-17
54963,21,114,602,female,05-17
54964,NA,NA,106,female,05-17
54965,NA,NA,82,female,05-17
54966,NA,NA,200,female,05-17
54967,NA,NA,33,female,05-17
54968,NA,NA,269,female,05-17
54970,NA,NA,208,female,05-17
54971,NA,NA,919,female,05-17
54974,NA,NA,137,female,05-17
54977,NA,NA,75,female,05-17
54979,NA,NA,108,female,05-17
54980,NA,NA,6,female,05-17
54981,NA,NA,1041,female,05-17
54982,NA,NA,509,female,05-17
54983,NA,NA,453,female,05-17
54984,NA,NA,166,female,05-17
54985,NA,NA,0,female,05-17
54986,NA,NA,365,female,05-17
53001,20,73,163,female,18-34
53002,40,133,217,female,18-34
53003,NA,NA,0,female,18-34
53004,32,83,314,female,18-34
53005,94,529,1449,female,18-34
53006,NA,NA,144,female,18-34
53007,21,66,192,female,18-34
53010,95,289,498,female,18-34
53011,26,62,147,female,18-34
53012,111,571,1445,female,18-34
53013,25,75,269,female,18-34
53014,43,120,583,female,18-34
53015,13,47,234,female,18-34
53016,NA,NA,53,female,18-34
53017,34,197,356,female,18-34
53018,17,85,560,female,18-34
53019,13,37,155,female,18-34
53020,12,74,212,female,18-34
53021,36,129,437,female,18-34
53022,270,1034,1417,female,18-34
53023,NA,NA,121,female,18-34
53024,109,409,1752,female,18-34
53027,244,831,2036,female,18-34
53029,56,318,1633,female,18-34
53031,NA,NA,0,female,18-34
53032,54,150,432,female,18-34
53033,32,136,360,female,18-34
53034,18,48,193,female,18-34
53035,18,60,233,female,18-34
53036,NA,NA,243,female,18-34
53037,129,486,945,female,18-34
53038,23,71,500,female,18-34
53039,33,94,447,female,18-34
53040,155,504,759,female,18-34
53042,48,139,683,female,18-34
53044,NA,NA,144,female,18-34
53045,75,498,1294,female,18-34
53046,11,43,125,female,18-34
53047,NA,NA,18,female,18-34
53048,23,65,267,female,18-34
53049,NA,NA,252,female,18-34
53050,55,149,785,female,18-34
53051,379,1573,3038,female,18-34
53057,NA,NA,148,female,18-34
53058,NA,NA,321,female,18-34
53059,NA,NA,185,female,18-34
53061,19,86,423,female,18-34
53063,NA,NA,104,female,18-34
53065,NA,NA,227,female,18-34
53066,67,275,2609,female,18-34
53069,NA,NA,23,female,18-34
53070,45,162,389,female,18-34
53072,81,382,2150,female,18-34
53073,123,452,1394,female,18-34
53074,90,290,1429,female,18-34
53075,22,87,261,female,18-34
53076,37,148,342,female,18-34
53078,25,61,156,female,18-34
53079,NA,NA,109,female,18-34
53080,51,155,592,female,18-34
53081,585,1551,4924,female,18-34
53083,207,684,1856,female,18-34
53085,109,380,843,female,18-34
53086,102,381,652,female,18-34
53088,NA,NA,43,female,18-34
53089,140,681,1487,female,18-34
53090,400,1236,2172,female,18-34
53091,29,70,147,female,18-34
53092,66,479,1338,female,18-34
53093,13,64,181,female,18-34
53094,NA,NA,2421,female,18-34
53095,463,1720,2218,female,18-34
53097,26,160,437,female,18-34
53098,36,92,797,female,18-34
