zip,obese_female_05-17,obese_female_18-34,obese_female_35-54,obese_female_55-74,obese_female_75-plus,obese_male_05-17,obese_male_18-34,obese_male_35-54,obese_male_55-74,obese_male_75-plus,bmi_female_05-17,bmi_female_18-34,bmi_female_35-54,bmi_female_55-74,bmi_female_75-plus,bmi_male_05-17,bmi_male_18-34,bmi_male_35-54,bmi_male_55-74,bmi_male_75-plus,pop_female_05-17,pop_female_18-34,pop_female_35-54,pop_female_55-74,pop_female_75-plus,pop_male_05-17,pop_male_18-34,pop_male_35-54,pop_male_55-74,pop_male_75-plus,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53150,NA,64,195,237,57,NA,47,186,228,41,NA,309,613,587,177,NA,207,414,509,158,2131,1821,3952,3017,988,2725,1901,3857,2991,665,32.6,33.5,9411,85744,23025,1825,24850,0.9265593561368209
53151,NA,161,345,489,154,NA,114,273,384,88,NA,711,1021,1269,502,NA,440,695,941,349,2201,2746,4594,4084,1925,2195,3030,4253,4102,1203,44.7,41.1,13657,76772,31987,0,31987,1
53153,NA,10,NA,19,NA,NA,NA,NA,25,NA,NA,35,NA,47,NA,NA,NA,NA,48,NA,198,205,354,287,58,177,170,329,348,81,28.9,30.2,912,90250,1941,387,2328,0.8337628865979382
53154,NA,134,260,253,41,NA,NA,NA,209,29,NA,413,643,539,128,NA,NA,NA,425,100,3151,4041,4995,3305,801,2540,4312,5300,3340,665,31.1,32.2,14081,70530,34160,291,34451,0.9915532205160953
53156,NA,22,33,50,15,NA,15,42,63,14,NA,53,92,110,47,NA,46,72,127,33,290,317,477,342,120,228,218,431,364,96,18.1,22.2,1189,57989,0,2992,2992,0
53158,NA,NA,NA,NA,14,NA,NA,NA,NA,16,NA,NA,NA,NA,43,NA,NA,NA,NA,43,1452,1440,2760,1703,413,1388,1602,2503,1968,282,33.4,33.8,6476,76851,15006,911,15917,0.9427655965320098
53167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42,29,105,0,52,80,85,75,0,13.1,45.1,308,51579,399,0,399,1
53168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,844,1501,956,188,766,899,1333,1033,164,21.5,22.4,3341,74088,6311,2332,8643,0.7301862779127618
53170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,260,259,174,44,225,194,332,221,66,21.9,27.8,923,61228,2380,0,2380,1
53172,NA,NA,154,164,37,NA,NA,NA,120,19,NA,NA,321,298,95,NA,NA,NA,250,79,1736,2561,2808,2298,905,1564,2168,2982,2243,611,18.9,22,8628,51484,21156,0,21156,1
53177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,675,1037,732,220,699,1507,1727,773,195,13.1,25.3,2663,64920,6858,1471,8329,0.823388161844159
53178,NA,NA,32,29,NA,NA,NA,NA,18,NA,NA,NA,56,50,NA,NA,NA,NA,48,NA,171,249,411,372,79,166,246,357,399,89,15.8,18.8,1157,60298,0,2626,2626,0
53179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657,690,975,513,165,742,581,1170,399,71,18.5,23.9,2363,68199,4807,1503,6310,0.7618066561014263
